instance,algorithm,mean_GD,std_GD,mean_IGD,std_IGD,mean_runtime_s,std_runtime_s,mean_nd_size
sdmk12,H-GA-TS,229.2237148380378,68.17080427756392,907.7740045793012,126.9265596853889,5.4219666719436646,0.03411376476287842,3.5
sdmk12,NSGA-II,89.92740378222207,0.8855908826385246,913.7697211776045,24.69097272025317,0.5123611688613892,0.03627955913543701,3.5
sdmk13,EDA,553.2554723854415,259.02488254135346,2795.826076024723,389.95762085166757,2.3937504291534424,0.24645185470581055,4.5
sdmk13,EDA-TS,0.0,0.0,0.0,0.0,5.057935476303101,0.3559880256652832,10.5
sdmk13,EDA-VNS,620.6566302100327,198.23740716259607,2705.445395793743,519.1575441534521,6.824188590049744,1.2313998937606812,3.0
sdmk13,H-GA-TS,541.5562895089358,299.8048101385341,2451.9220971035884,552.1570340333344,8.61250627040863,0.7191668748855591,2.5
sdmk13,NSGA-II,626.2519341688065,121.10201142859236,2722.7290714372775,442.4108377784837,0.6485806703567505,0.11684787273406982,4.0
sdmk14,EDA,116.40006941021038,67.15578040122986,926.759714437685,160.7579057504435,2.507457971572876,0.6531152725219727,2.5
sdmk14,EDA-TS,0.0,0.0,1.913241706413618,1.913241706413618,4.233164429664612,0.5662862062454224,9.0
sdmk14,EDA-VNS,169.59614956273103,53.664057370793074,833.974293708235,53.71994926435411,5.774258613586426,0.8610785007476807,3.5
sdmk14,H-GA-TS,376.067322722883,106.86616130985627,938.9148117172247,29.02730681085103,7.9987475872039795,1.02874755859375,4.5
sdmk14,NSGA-II,297.647122392397,71.21404729072374,939.5315232894327,96.75159231575202,0.6124573945999146,0.07286131381988525,4.0
sdmk15,EDA,855.8396384376813,33.008617578058534,2652.573385534367,460.6802671229241,2.7983176708221436,0.03415632247924805,3.0
sdmk15,EDA-TS,0.0,0.0,0.0,0.0,5.024906873703003,0.17957735061645508,9.5
sdmk15,EDA-VNS,900.4205759027783,286.32191933365664,2413.951034143327,227.70761930439653,6.6604379415512085,0.05529153347015381,3.5
sdmk15,H-GA-TS,722.8429658250757,88.34022351421692,2640.1620773039394,579.431034549119,8.536157131195068,0.043842315673828125,8.0
sdmk15,NSGA-II,1010.0715604610679,226.79009307986064,2726.8114385534705,296.25914184431986,0.7636111974716187,0.10485446453094482,4.5
